,monthly_price,latitude,longitude,bedrooms,bathrooms,daft_link
0,195000,52.138279,-7.930423,2 Bed,1 Bath,http://www.daft.ie/for-sale/terraced-house-blossom-berry-main-street-lismore-co-waterford/3741804
1,345000,51.917504,-8.442725,4 Bed,3 Bath,http://www.daft.ie/for-sale/semi-detached-house-11-west-avenue-lios-rua-ballyvolane-co-cork/3724952
2,285000,53.847388,-7.501804,4 Bed,3 Bath,http://www.daft.ie/for-sale/detached-house-kilmore-dring-co-longford/3691933
3,340000,51.919545,-8.458636,3 Bed,1 Bath,http://www.daft.ie/for-sale/semi-detached-house-22-mervue-crescent-ballyvolane-ballyvolane-co-cork/3691869
4,495000,52.626807,-7.439045,4 Bed,1 Bath,http://www.daft.ie/for-sale/detached-house-the-rectory-banse-glebe-kilmanagh-co-kilkenny/3726398
5,230000,53.85699,-9.307003,4 Bed,3 Bath,http://www.daft.ie/for-sale/semi-detached-house-3-orlagh-grove-castlebar-co-mayo/3709286
6,158500,53.883592,-9.215307,2 Bed,1 Bath,http://www.daft.ie/for-sale/apartment-beech-turlough-castlebar-co-mayo/3593715
7,270000,51.917231,-8.443459,3 Bed,2 Bath,http://www.daft.ie/for-sale/semi-detached-house-15-brookvale-ballyvolane-ballyvolane-co-cork/3742713
8,275000,53.094067,-6.942684,4 Bed,3 Bath,http://www.daft.ie/for-sale/semi-detached-house-11-brookfield-nurney-co-kildare/3741840
9,155000,54.210221,-8.50656,2 Bed,2 Bath,http://www.daft.ie/for-sale/duplex-apartment-60-ballisodare-co-sligo/3736455
10,129000,54.210221,-8.50656,2 Bed,1 Bath,http://www.daft.ie/for-sale/apartment-apartment-61-ballisodare-co-sligo/3736468
11,350000,53.777585,-7.496438,6 Bed,1+ bath,http://www.daft.ie/for-sale/detached-house-greville-arms-hotel-main-street-granard-co-longford/3737613
12,170000,52.322899,-6.653164,3 Bed,3 Bath,http://www.daft.ie/for-sale/terraced-house-19-stream-street-taghmon-co-wexford/3697236
13,369000,53.862408,-6.831088,4 Bed,3 Bath,http://www.daft.ie/for-sale/detached-house-aughamore-kilmainhamwood-co-meath/3611502
