,monthly_price,latitude,longitude,bedrooms,bathrooms,daft_link
0,345000,51.917504,-8.442725,4 Bed,3 Bath,http://www.daft.ie/for-sale/semi-detached-house-11-west-avenue-lios-rua-ballyvolane-co-cork/3724952
1,285000,53.847388,-7.501804,4 Bed,3 Bath,http://www.daft.ie/for-sale/detached-house-kilmore-dring-co-longford/3691933
2,340000,51.919545,-8.458636,3 Bed,1 Bath,http://www.daft.ie/for-sale/semi-detached-house-22-mervue-crescent-ballyvolane-ballyvolane-co-cork/3691869
3,158500,53.883592,-9.215307,2 Bed,1 Bath,http://www.daft.ie/for-sale/apartment-beech-turlough-castlebar-co-mayo/3593715
4,499000,52.984607,-6.07034,4 Bed,4 Bath,http://www.daft.ie/for-sale/detached-house-30-sea-scape-wicklow-town-co-wicklow/3725728
5,170000,52.322899,-6.653164,3 Bed,3 Bath,http://www.daft.ie/for-sale/terraced-house-19-stream-street-taghmon-co-wexford/3697236
6,495000,52.626807,-7.439045,4 Bed,1 Bath,http://www.daft.ie/for-sale/detached-house-the-rectory-banse-glebe-kilmanagh-co-kilkenny/3726398
7,369000,53.862408,-6.831088,4 Bed,3 Bath,http://www.daft.ie/for-sale/detached-house-aughamore-kilmainhamwood-co-meath/3611502
8,249000,53.905386,-6.811761,4 Bed,4 Bath,http://www.daft.ie/for-sale/semi-detached-house-20-rockfield-heights-kingscourt-co-cavan/3725636
9,230000,53.85699,-9.307003,4 Bed,3 Bath,http://www.daft.ie/for-sale/semi-detached-house-3-orlagh-grove-castlebar-co-mayo/3709286
10,190000,53.854522,-9.272098,3 Bed,3 Bath,http://www.daft.ie/for-sale/semi-detached-house-12-rinn-na-shiona-castlebar-co-mayo/3710772
11,275000,53.160203,-6.89226,3 Bed,2 Bath,http://www.daft.ie/for-sale/semi-detached-house-31-coolaghknock-avenue-the-plains-kildare-co-kildare/3725524
12,242000,53.766566,-7.491169,4 Bed,2 Bath,http://www.daft.ie/for-sale/bungalow-ballymaurice-granard-granard-co-longford/3724786
13,248500,53.906856,-6.809651,4 Bed,2 Bath,http://www.daft.ie/for-sale/detached-house-12-saint-marys-road-kingscourt-co-cavan/3722852
14,450000,53.084389,-6.963453,4 Bed,3 Bath,http://www.daft.ie/for-sale/detached-house-mylerstown-nurney-co-kildare/3621797
